var,qam4,qam16,qam64
1.20897,0.179167,0.306667,0.3525
1.21395,0.179167,0.306667,0.354167
1.21893,0.179167,0.306667,0.355
1.2239,0.179167,0.306667,0.355833
1.22887,0.179167,0.309167,0.355833
1.23385,0.179167,0.309167,0.355833
1.23883,0.18,0.309167,0.355833
1.2438,0.181667,0.31,0.355
1.24877,0.181667,0.31,0.355833
1.25375,0.1825,0.311667,0.356667
1.25873,0.1825,0.3125,0.356667
1.2637,0.1825,0.3125,0.3575
1.26867,0.1825,0.3125,0.3575
1.27365,0.1825,0.311667,0.358333
1.27862,0.1825,0.311667,0.359167
1.2836,0.185,0.3125,0.359167
1.28858,0.186667,0.313333,0.358333
1.29355,0.186667,0.313333,0.358333
1.29852,0.1875,0.313333,0.36
1.3035,0.189167,0.314167,0.360833
1.30848,0.189167,0.315,0.360833
1.31345,0.189167,0.315833,0.360833
1.31842,0.19,0.315833,0.361667
1.3234,0.19,0.315833,0.361667
1.32838,0.19,0.315833,0.3625
1.33335,0.19,0.315833,0.361667
1.33832,0.19,0.315833,0.361667
1.3433,0.19,0.3175,0.361667
1.34828,0.19,0.3175,0.3625
1.35325,0.190833,0.316667,0.360833
1.35823,0.191667,0.316667,0.360833
1.3632,0.191667,0.318333,0.361667
1.36817,0.191667,0.318333,0.361667
1.37315,0.191667,0.318333,0.3625
1.37813,0.191667,0.319167,0.363333
1.3831,0.191667,0.319167,0.364167
1.38807,0.1925,0.319167,0.364167
1.39305,0.193333,0.3175,0.364167
1.39803,0.193333,0.319167,0.365
1.403,0.194167,0.319167,0.365833
1.40797,0.194167,0.321667,0.365833
1.41295,0.194167,0.321667,0.365833
1.41793,0.194167,0.3225,0.365833
1.4229,0.195,0.323333,0.365
1.42788,0.195,0.323333,0.365
1.43285,0.196667,0.324167,0.365
1.43782,0.196667,0.325,0.366667
1.4428,0.196667,0.325,0.366667
1.44778,0.199167,0.3275,0.366667
1.45275,0.2,0.3275,0.366667
1.45772,0.2,0.3275,0.366667
1.4627,0.2,0.3275,0.366667
1.46768,0.2,0.326667,0.366667
1.47265,0.200833,0.326667,0.366667
1.47762,0.201667,0.328333,0.366667
1.4826,0.201667,0.329167,0.365833
1.48758,0.203333,0.33,0.366667
1.49255,0.203333,0.33,0.365833
1.49752,0.204167,0.33,0.366667
1.5025,0.204167,0.33,0.366667
1.50747,0.205,0.33,0.3675
1.51245,0.206667,0.331667,0.366667
1.51743,0.209167,0.331667,0.366667
1.5224,0.209167,0.3325,0.365833
1.52737,0.209167,0.333333,0.365833
1.53235,0.209167,0.3325,0.365833
1.53733,0.21,0.333333,0.365833
1.5423,0.210833,0.333333,0.365833
1.54727,0.210833,0.333333,0.366667
1.55225,0.210833,0.333333,0.366667
